date,demand,market_segment
2023-01-01,1104.1,Residential
2023-01-01,694.91,Commercial
2023-01-01,421.47,Landlord
2023-02-01,1154.91,Residential
2023-02-01,688.58,Commercial
2023-02-01,488.17,Landlord
2023-03-01,2502.18,Residential
2023-03-01,1411.01,Commercial
2023-03-01,942.13,Landlord
2023-04-01,2268.2,Residential
2023-04-01,1343.57,Commercial
2023-04-01,1010.31,Landlord
2023-05-01,2102.94,Residential
2023-05-01,1209.21,Commercial
2023-05-01,1242.29,Landlord
2023-06-01,2098.15,Residential
2023-06-01,1339.53,Commercial
2023-06-01,935.8,Landlord
2023-07-01,2026.51,Residential
2023-07-01,1414.63,Commercial
2023-07-01,854.56,Landlord
2023-08-01,2230.61,Residential
2023-08-01,1207.98,Commercial
2023-08-01,1010.61,Landlord
2023-09-01,1628.49,Residential
2023-09-01,898.14,Commercial
2023-09-01,715.97,Landlord
2023-10-01,1657.18,Residential
2023-10-01,998.97,Commercial
2023-10-01,739.8,Landlord
2023-11-01,1128.59,Residential
2023-11-01,629.88,Commercial
2023-11-01,343.01,Landlord
2023-12-01,1059.8,Residential
2023-12-01,565.52,Commercial
2023-12-01,426.76,Landlord
2024-01-01,1513.26,Residential
2024-01-01,897.95,Commercial
2024-01-01,872.73,Landlord
2024-02-01,1689.47,Residential
2024-02-01,995.85,Commercial
2024-02-01,596.68,Landlord
2024-03-01,3315.07,Residential
2024-03-01,1814.84,Commercial
2024-03-01,1581.05,Landlord
2024-04-01,3193.58,Residential
2024-04-01,2089.69,Commercial
2024-04-01,1223.78,Landlord
2024-05-01,3190.89,Residential
2024-05-01,2104.29,Commercial
2024-05-01,1570.79,Landlord
2024-06-01,3220.39,Residential
2024-06-01,2067.0,Commercial
2024-06-01,1332.65,Landlord
2024-07-01,3681.18,Residential
2024-07-01,2010.25,Commercial
2024-07-01,1406.52,Landlord
2024-08-01,3366.85,Residential
2024-08-01,2123.35,Commercial
2024-08-01,1155.44,Landlord
2024-09-01,2421.98,Residential
2024-09-01,1356.08,Commercial
2024-09-01,1102.15,Landlord
2024-10-01,2426.87,Residential
2024-10-01,1537.8,Commercial
2024-10-01,736.28,Landlord
2024-11-01,1684.14,Residential
2024-11-01,994.91,Commercial
2024-11-01,559.24,Landlord
2024-12-01,1595.32,Residential
2024-12-01,1040.3,Commercial
2024-12-01,509.55,Landlord
2025-01-01,2298.15,Residential
2025-01-01,1071.03,Commercial
2025-01-01,956.39,Landlord
2025-02-01,2263.56,Residential
2025-02-01,1326.44,Commercial
2025-02-01,921.41,Landlord
2025-03-01,4161.24,Residential
2025-03-01,2672.67,Commercial
2025-03-01,2207.38,Landlord
2025-04-01,4851.12,Residential
2025-04-01,2653.26,Commercial
2025-04-01,1656.32,Landlord
2025-05-01,4231.42,Residential
2025-05-01,2748.96,Commercial
2025-05-01,1655.79,Landlord
2025-06-01,4477.04,Residential
2025-06-01,2838.29,Commercial
2025-06-01,1832.61,Landlord
2025-07-01,4697.04,Residential
2025-07-01,2586.12,Commercial
2025-07-01,1760.52,Landlord
2025-08-01,4356.85,Residential
2025-08-01,2396.65,Commercial
2025-08-01,2099.05,Landlord
2025-09-01,3418.01,Residential
2025-09-01,2030.3,Commercial
2025-09-01,1317.06,Landlord
2025-10-01,3107.73,Residential
2025-10-01,1921.11,Commercial
2025-10-01,1559.62,Landlord
2025-11-01,2061.2,Residential
2025-11-01,1263.98,Commercial
2025-11-01,933.89,Landlord
2025-12-01,2377.21,Residential
2025-12-01,1341.7,Commercial
2025-12-01,701.97,Landlord
2026-01-01,2735.04,Residential
2026-01-01,1435.38,Commercial
2026-01-01,1316.0,Landlord
2026-02-01,2711.26,Residential
2026-02-01,1889.34,Commercial
2026-02-01,808.88,Landlord
2026-03-01,5638.09,Residential
2026-03-01,3334.8,Commercial
2026-03-01,2168.9,Landlord
2026-04-01,5538.42,Residential
2026-04-01,3337.08,Commercial
2026-04-01,1717.12,Landlord
2026-05-01,5634.77,Residential
2026-05-01,3836.6,Commercial
2026-05-01,2223.58,Landlord
2026-06-01,5353.52,Residential
2026-06-01,3596.74,Commercial
2026-06-01,1511.2,Landlord
2026-07-01,5225.31,Residential
2026-07-01,3229.16,Commercial
2026-07-01,2238.36,Landlord
2026-08-01,5143.28,Residential
2026-08-01,3305.08,Commercial
2026-08-01,2518.44,Landlord
2026-09-01,4020.09,Residential
2026-09-01,2222.11,Commercial
2026-09-01,1648.5,Landlord
2026-10-01,4348.91,Residential
2026-10-01,2635.91,Commercial
2026-10-01,1994.32,Landlord
2026-11-01,2679.73,Residential
2026-11-01,1716.74,Commercial
2026-11-01,1240.52,Landlord
2026-12-01,2699.82,Residential
2026-12-01,1752.51,Commercial
2026-12-01,1318.35,Landlord
