Date,Demand
2010-01-01,340214
2010-02-01,341322
2010-03-01,390849
2010-04-01,403713
2010-05-01,381232
2010-06-01,393797
2010-07-01,455198
2010-08-01,435833
2010-09-01,402555
2010-10-01,418249
2010-11-01,453551
2010-12-01,479181
2011-01-01,349035
2011-02-01,331215
2011-03-01,371681
2011-04-01,388890
2011-05-01,383733
2011-06-01,415467
2011-07-01,432265
2011-08-01,417573
2011-09-01,445334
2011-10-01,421464
2011-11-01,478293
2011-12-01,479030
2012-01-01,369887
2012-02-01,388250
2012-03-01,413593
2012-04-01,437874
2012-05-01,424320
2012-06-01,443146
2012-07-01,452348
2012-08-01,484138
2012-09-01,438224
2012-10-01,423412
2012-11-01,508084
2012-12-01,499520
2013-01-01,393122
2013-02-01,372829
2013-03-01,425303
2013-04-01,450400
2013-05-01,460197
2013-06-01,466166
2013-07-01,476316
2013-08-01,465617
2013-09-01,430294
2013-10-01,443613
2013-11-01,502910
2013-12-01,560063
2014-01-01,408786
2014-02-01,388730
2014-03-01,466885
2014-04-01,456734
2014-05-01,453303
2014-06-01,489873
2014-07-01,512853
2014-08-01,502921
2014-09-01,455863
2014-10-01,465909
2014-11-01,535175
2014-12-01,578069
2015-01-01,411054
2015-02-01,426008
2015-03-01,459305
2015-04-01,459116
2015-05-01,494220
2015-06-01,519954
2015-07-01,511025
2015-08-01,521798
2015-09-01,492249
2015-10-01,476484
2015-11-01,554484
2015-12-01,609692
2016-01-01,432155
2016-02-01,468106
2016-03-01,449185
2016-04-01,510216
2016-05-01,498888
2016-06-01,508388
2016-07-01,531950
2016-08-01,485441
2016-09-01,499241
2016-10-01,510860
2016-11-01,596037
2016-12-01,587935
2017-01-01,435170
2017-02-01,451269
2017-03-01,528237
2017-04-01,519214
2017-05-01,505236
2017-06-01,541299
2017-07-01,550670
2017-08-01,558304
2017-09-01,507923
2017-10-01,516224
2017-11-01,578508
2017-12-01,588009
2018-01-01,468321
2018-02-01,479756
2018-03-01,529847
2018-04-01,526911
2018-05-01,506405
2018-06-01,542255
2018-07-01,561200
2018-08-01,543203
2018-09-01,535901
2018-10-01,548134
2018-11-01,647165
2018-12-01,645365
2019-01-01,484064
2019-02-01,490770
2019-03-01,511472
2019-04-01,549357
2019-05-01,552609
2019-06-01,618729
2019-07-01,583936
2019-08-01,584563
2019-09-01,557129
2019-10-01,536526
2019-11-01,653468
2019-12-01,681369
2020-01-01,510278
2020-02-01,493064
2020-03-01,428649
2020-04-01,416716
2020-05-01,477625
2020-06-01,571280
2020-07-01,546259
2020-08-01,563364
2020-09-01,579343
2020-10-01,568784
2020-11-01,615032
2020-12-01,688782
2021-01-01,534386
2021-02-01,578702
2021-03-01,613921
2021-04-01,670665
2021-05-01,620491
2021-06-01,651578
2021-07-01,699514
2021-08-01,640400
2021-09-01,650476
2021-10-01,676801
2021-11-01,686037
2021-12-01,773041
2022-01-01,536734
2022-02-01,560475
2022-03-01,581585
2022-04-01,581473
2022-05-01,622567
2022-06-01,599826
2022-07-01,618072
2022-08-01,610176
2022-09-01,567506
2022-10-01,587751
2022-11-01,661565
2022-12-01,674610
2023-01-01,586462
2023-02-01,574005
2023-03-01,602946
2023-04-01,645486
2023-05-01,611210
2023-06-01,658226
2023-07-01,687939
2023-08-01,631832
2023-09-01,648445
2023-10-01,638183
2023-11-01,726939
2023-12-01,796165
2024-01-01,564887
2024-02-01,568986
2024-03-01,630927
2024-04-01,634423
2024-05-01,653178
2024-06-01,684608
2024-07-01,704996
2024-08-01,706917
2024-09-01,662800
2024-10-01,698201
2024-11-01,739353
2024-12-01,863571
