date,demand,market_segment
2021-01-01,908,Residential
2021-01-01,543,Commercial
2021-01-01,369,Landlord
2021-02-01,871,Residential
2021-02-01,477,Commercial
2021-02-01,306,Landlord
2021-03-01,1011,Residential
2021-03-01,539,Commercial
2021-03-01,373,Landlord
2021-04-01,1076,Residential
2021-04-01,607,Commercial
2021-04-01,422,Landlord
2021-05-01,1144,Residential
2021-05-01,658,Commercial
2021-05-01,408,Landlord
2021-06-01,1153,Residential
2021-06-01,732,Commercial
2021-06-01,495,Landlord
2021-07-01,1121,Residential
2021-07-01,696,Commercial
2021-07-01,473,Landlord
2021-08-01,1110,Residential
2021-08-01,717,Commercial
2021-08-01,513,Landlord
2021-09-01,1190,Residential
2021-09-01,707,Commercial
2021-09-01,518,Landlord
2021-10-01,1228,Residential
2021-10-01,785,Commercial
2021-10-01,497,Landlord
2021-11-01,1384,Residential
2021-11-01,733,Commercial
2021-11-01,488,Landlord
2021-12-01,1247,Residential
2021-12-01,716,Commercial
2021-12-01,517,Landlord
2022-01-01,991,Residential
2022-01-01,536,Commercial
2022-01-01,413,Landlord
2022-02-01,902,Residential
2022-02-01,521,Commercial
2022-02-01,357,Landlord
2022-03-01,1048,Residential
2022-03-01,606,Commercial
2022-03-01,406,Landlord
2022-04-01,1142,Residential
2022-04-01,658,Commercial
2022-04-01,430,Landlord
2022-05-01,1206,Residential
2022-05-01,681,Commercial
2022-05-01,453,Landlord
2022-06-01,1233,Residential
2022-06-01,727,Commercial
2022-06-01,530,Landlord
2022-07-01,1185,Residential
2022-07-01,706,Commercial
2022-07-01,519,Landlord
2022-08-01,1199,Residential
2022-08-01,747,Commercial
2022-08-01,514,Landlord
2022-09-01,1272,Residential
2022-09-01,751,Commercial
2022-09-01,497,Landlord
2022-10-01,1269,Residential
2022-10-01,842,Commercial
2022-10-01,519,Landlord
2022-11-01,1347,Residential
2022-11-01,826,Commercial
2022-11-01,547,Landlord
2022-12-01,1272,Residential
2022-12-01,776,Commercial
2022-12-01,542,Landlord
2023-01-01,1034,Residential
2023-01-01,585,Commercial
2023-01-01,401,Landlord
2023-02-01,932,Residential
2023-02-01,576,Commercial
2023-02-01,362,Landlord
2023-03-01,1105,Residential
2023-03-01,639,Commercial
2023-03-01,401,Landlord
2023-04-01,1250,Residential
2023-04-01,617,Commercial
2023-04-01,443,Landlord
2023-05-01,1208,Residential
2023-05-01,732,Commercial
2023-05-01,490,Landlord
2023-06-01,1279,Residential
2023-06-01,790,Commercial
2023-06-01,506,Landlord
2023-07-01,1220,Residential
2023-07-01,781,Commercial
2023-07-01,494,Landlord
2023-08-01,1186,Residential
2023-08-01,817,Commercial
2023-08-01,537,Landlord
2023-09-01,1267,Residential
2023-09-01,756,Commercial
2023-09-01,587,Landlord
2023-10-01,1276,Residential
2023-10-01,877,Commercial
2023-10-01,562,Landlord
2023-11-01,1418,Residential
2023-11-01,801,Commercial
2023-11-01,591,Landlord
2023-12-01,1344,Residential
2023-12-01,816,Commercial
2023-12-01,520,Landlord
2024-01-01,988,Residential
2024-01-01,675,Commercial
2024-01-01,447,Landlord
2024-02-01,1008,Residential
2024-02-01,552,Commercial
2024-02-01,400,Landlord
2024-03-01,1221,Residential
2024-03-01,591,Commercial
2024-03-01,428,Landlord
2024-04-01,1282,Residential
2024-04-01,668,Commercial
2024-04-01,450,Landlord
2024-05-01,1317,Residential
2024-05-01,703,Commercial
2024-05-01,500,Landlord
2024-06-01,1290,Residential
2024-06-01,857,Commercial
2024-06-01,523,Landlord
2024-07-01,1290,Residential
2024-07-01,769,Commercial
2024-07-01,531,Landlord
2024-08-01,1253,Residential
2024-08-01,816,Commercial
2024-08-01,571,Landlord
2024-09-01,1381,Residential
2024-09-01,717,Commercial
2024-09-01,602,Landlord
2024-10-01,1336,Residential
2024-10-01,887,Commercial
2024-10-01,587,Landlord
2024-11-01,1480,Residential
2024-11-01,858,Commercial
2024-11-01,572,Landlord
2024-12-01,1376,Residential
2024-12-01,810,Commercial
2024-12-01,589,Landlord
2025-01-01,1100,Residential
2025-01-01,691,Commercial
2025-01-01,419,Landlord
2025-02-01,1029,Residential
2025-02-01,598,Commercial
2025-02-01,423,Landlord
2025-03-01,1254,Residential
2025-03-01,659,Commercial
2025-03-01,427,Landlord
2025-04-01,1288,Residential
2025-04-01,733,Commercial
2025-04-01,484,Landlord
2025-05-01,1296,Residential
2025-05-01,824,Commercial
2025-05-01,500,Landlord
2025-06-01,1359,Residential
2025-06-01,874,Commercial
2025-06-01,537,Landlord
2025-07-01,1267,Residential
2025-07-01,894,Commercial
2025-07-01,524,Landlord
2025-08-01,1298,Residential
2025-08-01,831,Commercial
2025-08-01,606,Landlord
2025-09-01,1330,Residential
2025-09-01,854,Commercial
2025-09-01,616,Landlord
2025-10-01,1461,Residential
2025-10-01,796,Commercial
2025-10-01,653,Landlord
2025-11-01,1504,Residential
2025-11-01,862,Commercial
2025-11-01,644,Landlord
2025-12-01,1480,Residential
2025-12-01,814,Commercial
2025-12-01,581,Landlord
